loc,counts
歐洲,675
亞洲,322
歐,76
東北,74
歐美,55
北美,49
北歐,48
非洲,44
東南亞,44
兩岸,38
西江,29
西岸,28
東歐,23
歐洲人,21
東岸,20
東海,18
華東,18
台灣,17
黃金海岸,17
東亞,16
中東,15
澳洲,14
紐澳,13
西北,13
長灘島,13
玉山,11
南美洲,11
美洲,10
中南美洲,9
台北,8
江南,8
西歐,8
美東,8
南美,8
灣區,7
歐陸,7
南歐,7
東西岸,7
太平洋,6
大陸,6
南京,6
波羅的海,6
嵐山,6
大峽谷,5
曼哈頓,5
中北,5
藍山,5
南洋,4
長江,4
北極,4
忠孝東路,4
閔行校區,4
華中,4
歐亞,4
大鐵圍山,4
亞太,4
黃石,4
灣島,4
寶山,3
台灣海峽,3
美,3
華南,3
西門町,3
陽明山,3
寶山區,3
哈林區,3
拉丁美洲,3
北非,3
五角場,3
松江校區,3
南海,3
南陽街,3
劍橋,3
地球,3
華北,3
關西地區,3
臺北市大安區建國南路2段125號,3
黑海,3
東方明珠,2
四平校區,2
秦淮河,2
三峰,2
洛磯山脈,2
亞太區,2
日月潭,2
朝陽,2
山口,2
三角埔,2
臺灣島,2
中南,2
第五大道,2
西南,2
朝鮮半島,2
西亞,2
北島,2
加州灣區,2
義大利,2
亞得里亞海,2
薄荷島,2
江浙滬,2
